[2021-11-14 00:43:03,156]: 127.0.0.1:1234 "COPY /test.png HTTP/1.1"405 Method Not Allowed 
[2021-11-14 00:43:03,166]: 127.0.0.1:1234 "COPY HTTP/1.1 test.png"405 Method Not Allowed 
[2021-11-14 00:44:26,758]: 127.0.0.1:12345 "GET /test.png HTTP/1.1"413 Request Entity Too Large 
[2021-11-14 00:44:26,767]: 127.0.0.1:12345 "GET HTTP/1.1 test.png"413 Request Entity Too Large 
[2021-11-14 00:50:01,709]: 127.0.0.1:1234 "503 Service Unavailable" 
[2021-11-14 11:41:27,123]: 127.0.0.1:12345 "DELETE /old.txt HTTP/1.1"401 Unauthorised 
[2021-11-14 11:41:27,125]: 127.0.0.1:12345 "DELETE HTTP/1.1 old.txt"401 Unauthorised 
[2021-11-14 11:56:58,930]: 127.0.0.1:12345 "DELETE /old.mp3 HTTP/1.1"200 OK Basic 
[2021-11-14 11:56:58,934]: 127.0.0.1:12345 "DELETE HTTP/1.1 old.mp3"200 OK 
[2021-11-14 11:58:43,877]: 127.0.0.1:1234 "DELETE /old.txt HTTP/1.1"200 OK Basic 
[2021-11-14 11:58:43,878]: 127.0.0.1:1234 "DELETE HTTP/1.1 old.txt"200 OK 
[2021-11-14 12:04:02,705]: 127.0.0.1:12345 "DELETE /t.mp3 HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 12:04:02,705]: 127.0.0.1:12345 "DELETE HTTP/1.1 t.mp3"200 OK 
[2021-11-14 12:05:32,551]: 127.0.0.1:12345 "DELETE /try.txt HTTP/1.1"401 Unauthorised 
[2021-11-14 12:05:32,557]: 127.0.0.1:12345 "DELETE HTTP/1.1 try.txt"401 Unauthorised 
[2021-11-14 12:05:41,625]: 127.0.0.1:12345 "DELETE /try.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 12:05:41,625]: 127.0.0.1:12345 "DELETE HTTP/1.1 try.txt"200 OK 
[2021-11-14 12:22:18,017]: 127.0.0.1:12345 "GET /tr.txt HTTP/1.1"404 Not Found 
[2021-11-14 12:22:18,017]: 127.0.0.1:12345 "GET HTTP/1.1 tr.txt"404 Not Found 
[2021-11-14 13:35:01,796]: 127.0.0.1:1234 "GET HTTP/1.1 ef.txt"404 Not Found 
[2021-11-14 13:35:01,796]: 127.0.0.1:1234 "ef.txt Not Found 
[2021-11-14 13:35:01,796]: 127.0.0.1:1234 "GET /ef.txt HTTP/1.1"404 Not Found 
[2021-11-14 14:32:50,665]: 127.0.0.1:12345 "test.png Accessed Successfully.
[2021-11-14 14:32:50,695]: 127.0.0.1:12345 "GET HTTP/1.1 test.png"200 OK 
[2021-11-14 14:32:50,695]: 127.0.0.1:12345 "GET /test.png HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 14:52:52,026]: 127.0.0.1:1234 "r.txt File Deleted Successfully. 
[2021-11-14 14:52:52,027]: 127.0.0.1:1234 "DELETE /r.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 14:52:52,027]: 127.0.0.1:1234 "DELETE HTTP/1.1 r.txt"200 OK 
[2021-11-14 14:53:22,307]: 127.0.0.1:1234 "q.txt File is Unauthorized
[2021-11-14 14:53:22,307]: 127.0.0.1:1234 "DELETE /q.txt HTTP/1.1"401 Unauthorised PostmanRuntime/7.28.4
[2021-11-14 14:53:22,308]: 127.0.0.1:1234 "DELETE HTTP/1.1 q.txt"401 Unauthorised 
[2021-11-14 14:53:41,386]: 127.0.0.1:1234 "DELETE HTTP/1.1 r.txt"404 Not Found 
[2021-11-14 14:53:41,459]: 127.0.0.1:1234 "r.txt File Not Found 
[2021-11-14 14:53:41,459]: 127.0.0.1:1234 "DELETE /r.txt HTTP/1.1"404 Not Found PostmanRuntime/7.28.4 
[2021-11-14 15:12:04,513]: 127.0.0.1:1234 "abhay1.txt File Created Successfully.
[2021-11-14 15:12:04,513]: 127.0.0.1:1234 "PUT /abhay1.txt HTTP/1.1"201 created PostmanRuntime/7.28.4 
[2021-11-14 15:12:04,513]: 127.0.0.1:1234 "PUT HTTP/1.1 abhay1.txt"201 created 
[2021-11-14 15:13:23,714]: 127.0.0.1:1234 "abhay1.txt File Created Successfully.
[2021-11-14 15:13:23,715]: 127.0.0.1:1234 "PUT /abhay1.txt HTTP/1.1"201 created PostmanRuntime/7.28.4 
[2021-11-14 15:13:23,715]: 127.0.0.1:1234 "PUT HTTP/1.1 abhay1.txt"201 created 
[2021-11-14 15:17:37,884]: 127.0.0.1:12345 "abhay1.png File Created Successfully.
