[2021-11-14 18:56:55,290]: 127.0.0.1:9999 "DELETE /dhruv.png HTTP/1.1"401 Unauthorised PostmanRuntime/7.28.4
[2021-11-14 18:56:55,291]: 127.0.0.1:9999 "GET /s.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 18:56:55,292]: 127.0.0.1:9999 "GET HTTP/1.1 s.txt"200 OK 
[2021-11-14 18:56:55,291]: 127.0.0.1:9999 "DELETE HTTP/1.1 dhruv.png"401 Unauthorised 
[2021-11-14 18:58:29,123]: 127.0.0.1:9999 "PUT /dj.txt HTTP/1.1"201 created PostmanRuntime/7.28.4 
[2021-11-14 18:58:29,123]: 127.0.0.1:9999 "PUT HTTP/1.1 dj.txt"201 created 
[2021-11-14 18:58:59,924]: 127.0.0.1:9999 "PUT /dj.txt HTTP/1.1"201 created */* 
[2021-11-14 18:58:59,924]: 127.0.0.1:9999 "PUT HTTP/1.1 dj.txt"201 created 
[2021-11-14 18:59:09,521]: 127.0.0.1:9999 "PUT /dj.txt HTTP/1.1"201 created */* 
[2021-11-14 18:59:09,522]: 127.0.0.1:9999 "PUT HTTP/1.1 dj.txt"201 created 
[2021-11-14 19:00:46,451]: 127.0.0.1:9999 "GET /s.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:00:46,452]: 127.0.0.1:9999 "GET HTTP/1.1 s.txt"200 OK 
[2021-11-14 19:00:46,452]: 127.0.0.1:9999 "HEAD /sahil.mp3 HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:00:46,453]: 127.0.0.1:9999 "HEAD HTTP/1.1 sahil.mp3"200 OK 
[2021-11-14 19:00:46,454]: 127.0.0.1:9999 "DELETE HTTP/1.1 create.txt"404 Not Found 
[2021-11-14 19:00:46,454]: 127.0.0.1:9999 "DELETE /create.txt HTTP/1.1"404 Not Found PostmanRuntime/7.28.4 
[2021-11-14 19:00:46,455]: 127.0.0.1:9999 "DELETE /dhruv.png HTTP/1.1"401 Unauthorised PostmanRuntime/7.28.4
[2021-11-14 19:00:46,455]: 127.0.0.1:9999 "DELETE HTTP/1.1 dhruv.png"401 Unauthorised 
[2021-11-14 19:00:46,455]: 127.0.0.1:9999 "PUT /testing.txt HTTP/1.1"201 created */* 
[2021-11-14 19:00:46,455]: 127.0.0.1:9999 "PUT HTTP/1.1 testing.txt"201 created 
[2021-11-14 19:02:09,140]: 127.0.0.1:9999 "POST /arya.txt HTTP/1.1"201 created */* 
[2021-11-14 19:02:09,145]: 127.0.0.1:9999 "POST HTTP/1.1 arya.txt"201 created 
[2021-11-14 19:03:39,449]: 127.0.0.1:9999 "GET /s.txt HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:03:39,449]: 127.0.0.1:9999 "HEAD /sahil.mp3 HTTP/1.1"200 OK PostmanRuntime/7.28.4 
[2021-11-14 19:03:39,450]: 127.0.0.1:9999 "DELETE HTTP/1.1 create.txt"404 Not Found 
[2021-11-14 19:03:39,451]: 127.0.0.1:9999 "DELETE /dhruv.png HTTP/1.1"401 Unauthorised PostmanRuntime/7.28.4
[2021-11-14 19:03:39,452]: 127.0.0.1:9999 "PUT /testing.txt HTTP/1.1"201 created */* 
[2021-11-14 19:03:39,460]: 127.0.0.1:9999 "PUT HTTP/1.1 testing.txt"201 created 
[2021-11-14 19:03:39,459]: 127.0.0.1:9999 "GET HTTP/1.1 s.txt"200 OK 
[2021-11-14 19:03:39,459]: 127.0.0.1:9999 "HEAD HTTP/1.1 sahil.mp3"200 OK 
